selected_text,sentiment
have responded if were going,0
sooo sad,1
bullying me,1
leave me alone,1
sons of,1
some shameless plugging for the best rangers forum on earth,0
fun,2
soooo high,0
both of you,0
wow just became cooler,2
as much as love to be hopeful reckon the chances are minimal never gonna get my cake and stuff,0
like,2
dangerously,1
lost,1
test test from the lg env,0
uh oh am sunburned,1
sigh,1
sick,1
onna,1
hes just not that into you,0
oh marly so sorry hope you find her soon,0
interesting,2
is cleaning the house for her family who is comming later today,0
gotta restart my computer thought win was supposed to put an end to the constant rebootiness,0
see wat mean bout foll friidays it called lose llowers friday smh,0
the free fillin app on my ipod is fun im addicted,2
sorry,1
no internet,1
fun,2
power back up not working too,1
quite heavenly,2
hope,2
well so much for being unhappy for about minute,1
funny,2
ahhh slept through the game gonna try my best to watch tomorrow though hope we play army,0
thats it its the end tears for fears,0
miss,1
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,0
soooooo sleeeeepy,1
little happy fo,2
car not happy big big dent in boot hoping theyre not going to write it off crossing fingers and waiting,0
avid fan of,2
mayday,0
ratt rocked nashville tonite one thing sucked no encore like in the they still have fun show pearcy has that hott bad boy look,0
love to,2
the girl in the hair salon asked me shall trim your eyebrows how old do feel,0
suckkkkkk,1
visiting my friendster and facebook,0
dont like go,1
not thrilled at all with mine,1
then you should check out and connect with other tweeple who hate twitter,0
also bored at school its my third freelesson freistunde,0
hm both of us guess,0
it is have dissappointed me that past few days,1
romance zero is funny,2
rather do the early run but am morning runner,0
hurts,1
will be back later,0
torn ace of hearts,1
what fun are you speaking of,0
lost all my friends alone and sleepy,1
haha yes,0
give in to easily,1
favorite,2
jealous,1
is at photoshoot,0
awesome,2
yay playing show tonight boo it gonna soggy and at work right before playing,0
chilliin,2
if you know such agent do let me know,0
still smell of smoke kitchenfire,0
better,2
anyone have an extra keane ticket promise to buy you drink and take rad pics for your fb blog flickr etc,0
you can ride one you can catch one but its not summer til you pop open one,0
she is good so gor juz yea kno asked her yesterday when we were at tha hospital if she talked to and she said no,0
ok out of here for now just popped in to say hi and check on things ll probably head to the guttah later on tonight,0
baddd,1
my sources say no,0
am sooo tired,1
hey you change your twitter account and you didn even tell me,0
thank,2
lucky,2
fell asleep waiting for my ride,0
sick,1
sorry guys,1
happy star wars day everyone and enjoy the holiday uk,2
miles from you in essex so give me plenty of warning so can arrive in time to get at least one of those free beers,0
his snoring is so annoying it keeps me from sleeping like right now lol but honestly wud miss it if it eva left love him,0
miss you bby,1
cool,2
love it there,2
yes and it lasts way past my bedtime,0
hi how are you doing just joined twitter,0
tired,1
eating ice cream and then getting ready for graduation,0
happy mothers day to all you mums out there,2
freaked,1
unfortunately,1
gonna read story bout adam lambert online then bed nighty night,0
best,2
pretty,2
certainly not cheers than huh,0
horrible,1
busy,1
awesome,2
at least get to watch over time let go pens,0
cool wear black most of the time when go out,0
thanks,2
safe,2
wish was allowed to go,2
if have friendster add me my email adress add me loco_crime_ st com add me,0
has tickets,0
thank you,2
acsm it unfathomable think the other one and the is one that should be kept to the comfort of our bedrooms yes,0
love my,2
don feel confident,1
sad,1
hahaa your awesomee,2
awesomeeeee,2
hate fallout it keeps making me jump also low on health money ammo and food don worry ll get through it,0
had it on my itunes but then lost all my songs,0
what with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,0
not looking forward,1
poor you,1
not well,1
not prob,2
at dads watching some mtv and am going on sims in minutee,0
absolutely,0
what the matter chickadee,0
adore,2
good,2
love him too,2
painful,1
sad,1
nice,2
wish,2
namaskar namaste both the same marathi people say namaskar its marathi word should naaaah,0
congrats cuss like that in matter of minutes but didn know until now there is reward for it,0
humous and dorito oh yes,0
missed all the awesome weather,1
today is going to be normal day for hope we had group of pilots from large airline come in last night so it was too much drink,0
terrible,1
unfortunatley,1
that sucks tho,1
hate fighting,1
watched that too didnt want her to win but she put up good fight lol,0
car warmed sprite tastes like sore throat,1
just came th in cross country and beat dumbo,0
enjoyable,2
endearing,2
tomorrow valeria lunch going to get my hair done but im arraving late got my cousins babtizm or whatever you spell it,0
goooooddd morning tweets,2
hate,1
fine,2
don like the other ones,1
mmmmmmmm it in the morning,0
me neither,0
has about hours work to do on sunday boo will find time for two hour lunchbreak though yeah,0
bugger forgot still have washing in my machine,1
sending love blessings healing thoughts to you family peace,2
really bad,1
ah yes know that feeling,0
night of the cookers with my dad,0
brutal,1
nope am in coquitlam,0
boring,1
sounds like fun,2
big booming thunder storm almost here maybe we can all go home early ah probably not,0
great,2
excited,2
good morning,2
its the best show ever,2
messed,1
think iv hurt my tooth and eilish and cassie are having drawing competiton to draw cookies and pineapples haha,0
want to know when the auditions are mander text or reply please,0
not the secret namerebecca please,1
miss,1
need to get my computer fixed,0
illness,1
all the cool people want to find for following today are english and guess the english don tweet,0
no sir woulda put honey but don have any,0
totally loved it,2
you helped me thru the hrdest time of my life,2
sad,1
finally got call for marriage counseling days late,0
ok then,0
why baby,0
sick,1
we re having an impromptu pool party except don know how to swim so can get in,0
oww,1
happy year,2
goooooooooooood morrrrrrrrning,2
phew will make note in case anyone else runs into the same issuei,0
what about me vote every day for you,1
this diet is killing me,1
talk to you,0
bored,1
fun,2
so far so good but did sleep for most of those hours getting bit twitchy now,0
what with twatter lately either can get on or the replies don turn up,0
lost my voice,1
hate,1
ve heard this fall waiting too,0
more nightmares huggles,0
am such creeper feel disappointed because of it my cyberstalking skills the internet no more privacy,1
headache,1
happy,2
grabbing coffee from then making mom breakfast,0
going to have fun,2
thanks before the major chop,0
thank you,2
just got up and updated my ipod,0
hahaha,2
crush,2
saw james carville in the store today his head is really that bald,0
yellow for,0
which means you re just going to have to come back to vancouver and have it our way hahah,0
feeling smooth,2
ew traffic,1
downloading songs while trying to sneak lil homework in too which should be my main priority not songs lol,0
your not alone need coffee too,0
sounds like me,0
bad day the day you realize what mess you ve put me through will be one of the happiest days of my life,0
hate not having bike,1
,0
this is worse than taxes,1
jonas brothers live to party it rocking so hard,2
happy,2
would love to test it though,2
fun night,2
the exception for short dude larenz fineass tate yum,0
thought wolverine was awesome,2
hopefully,2
yes work to,0
hmmm maybe that what they meant they eluded to something brand new but you know how the media is,0
done at the spa now meeting vic for some late lunch,0
happy,2
always have wanted to go to oz,0
thx,0
luv,2
that why need to be there,2
okay so dedicating my th tweet to the fact that going to the apple store because there is huge crack on the glass screen,0
if only we could ever actually be allowed to stay here and do that,0
let me know how that turns out,0
was that sass detect as long as it isn back sass haha,0
ahaha,2
sports bar shatranjanpoli rest ph all sports bar andheri dont know whether that helps google ki jai ho,0
not sleeping at all un,1
seriously,1
live for pain bring it on,0
okay out for while back later,0
what is this powerblog challenge you keep talking about newbie followe,0
died,2
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,0
not going to well,1
going to shower because don want to smell at school tomorrow,0
sigh you know am,0
hopefully,2
here are free twitter tools will get you followers,0
just got home from work and is chugging down big bottle of apple juice,0
harmed,1
what an amazing day,2
it was only once for my big brother and done now,0
good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,0
well good morning all what wonderful day in the neighborhood thanks for all those that are now following another this morning,2
were amazing tonight,2
hope,2
it hurts too much,2
waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,0
hell yeah,0
him shirt at dinner do you need to ask does it actually have ville on it,0
know,0
huh what the smelly noooo love alex vixon,0
great,2
happy day,2
thank,2
happy,2
glad,2
thanks,2
twittering after days,0
its too nice,2
depressed,1
sick,1
happy mothers day people love my mom lot still,2
sorry,1
he was soooo friendly,2
happy,2
is getting the hang of twitter,0
you know your neck is jacked up when you are forced to pay for parking bc you can turn you head to parallel park in the free spaces,1
want it back now,0
miss,1
bathing with two little angels keyla and janice,0
chocked,1
hahahha lol true that always remember my bd but can never remember what date or even day it is,0
family is here hanging with them,0
it gorgeous out,2
worried,1
im not bannished,1
morning if get to see it ll let you know right now going to go see wolverine,0
red top tabloids build em up knock em down,0
tonight in party my girls minus vita,2
why not now you made me sad thought you be jumping for joy,0
simple my,0
the pics just uploaded are the baby pics of my cats missy is now an adult and pretty little kitty but batty is in kitten heaven now,0
amazing,2
glad,2
have missed them,1
that what want more the better bound to be few bad eggs though but they will soon learn,0
hell yeah kellynn got twitter finally,0
as wort,2
better,2
ship stuck,1
cannot wait,2
shame,1
no content,0
it looks like the office tv does get mlb network and it looks like mlbn will not be televising the det bal game today wieters,0
home empty handed no comics found today shall now indulge in my cupcakes from magnolia bakery,0
definitely pinched nerve,1
exhausting,1
was going to go on sunday but now ve got too much going on that weekend,0
sorry,1
im sad it very hurts,1
before get too distracted like to thank my new followers for taking the trouble to follow me and to my others feelin the love,2
broke,1
not sure it didn say it was big jst saw the pics of on ur last bday you looked so pretty miss you,0
sore throat planning the tet outing to marwell though good times,0
it was amazin,2
now migraine,1
there,0
sucks,1
whens the sway sway winner announced,0
will check it out,0
doing pretty well,2
want to wake up early and get coffee tomorrow today it going to be busyy day but have to keep writing booo whoo,0
miss daddy and mommy,1
officially depressed,1
just realized that can forward text msgs with my iphone,0
exciting,2
that sucks,1
bored,1
am lost,1
it peter gordon morning and go to pieces and wanna hide go to pieces and almost die ever,0
bad,1
lmao smh that one threw me off,0
oh nice going,2
is getting ready for work working all weekend,0
partying,2
agree with you,2
am hopeless at everything else,1
perfect ma,2
thanks,2
sorry,1
saw amazing heeels but they were too big,0
stuck,1
dang,1
missed all ur tweets,1
damnit all that sucks,1
my boss she moving to nyc,0
this is sooo crazy,1
some stupid,1
think need some new friends,0
looking forward to your gig in ireland see ya there,0
please re,2
aww you loooove me,2
is hungry twitter want food,0
awesome lucky you,2
yea should know but tell me everything ps send me direct messages telling ha,0
love,2
had great time out in the beer garden wit the boyos think the sun got to me bit though feel bit ill,0
no fun,1
really don think so maybe ur right lol btw what phone using think told me might have an app for,0
feel your pain,1
comes home in two days,0
sadly,1
cant wait,2
ehhh no just check up have dentist app next week though getting my molar pulled root canal,0
aww miss driving,1
omg wango tango was awsome love my baby for taking me,2
its very cool,2
wish,2
yeah real hard but know you ll get by with it smile,0
that not good,1
this has made my night way too funny,2
happy,2
make that same face when get home and your mom is watching soaps,0
have to go to work now,0
can believe you went and got boba without me,0
and to you too how are you today,0
thanks,2
days and counting,0
sorry friends,1
brainfreeze,0
just discovered shortcoming of gravity when you use twitpic integrated it doesn subtract the pic url from the character limit,0
my sunburn is peeling,1
perky purple nail polish isn as perky when its chipped,0
before they put camera in the smokers pit can no longer vandalize that door without being caught,0
don have no one to cuddle with,1
hate,1
sorry,1
dying,1
qood morninq,0
writing my english original writing storyyyyy and listening to little respect by erasure aaaaaah,0
needs more followers,0
stupid job,1
the little wormy from labyrinth sadly passed away today but its ok as hes still around in happy ghost form,0
the no pants idea could be the new attempt world wide to attract business back to the airlines,0
have good on,2
she is popular,2
dosen want to,1
his voice is great,2
wish the birthday massacre would come to australia think they said they re thinking about it tho,0
was hoping to go to red lobster this weekend,0
lucky,2
sure do hope,2
congrats,2
passed away,1
you are such amazing people,2
cool,2
so no rice or crusty bread with the chili aawww,0
we are of like minds this evening my dear,0
come and save me from my packing please,0
yes love tea,2
mouth for sure,2
finally just have hour of history at pm but went to my highschool at am to make some homework with friend,0
thanks,2
just don entertain him,1
kill me,1
both electronic keys stopped working there is no keyhole,1
good,2
poor tony,1
goodmorning,2
don really feel like,1
love mine too happy motheri ½s day to your mom john taylor much love to you too,2
saw black snake in the garden went back for picture and it was gone,0
best,2
no waterfront anymore,1
loves her mum very much happy mothers day to all the wonderful mothers out there,2
feeling like poop,1
excited,2
then you cry,1
discovered and are sharing on reader with me and didn even know it sigh such reader newb,0
is chilled out tonite so cannot spew venom or write funny seems like these are the only styles she has,0
if do please pray me lord knows need it,0
aaaaaw want to live in the usa,0
morning tweeple,2
hey didn get any,0
rest if you need it,2
that makes my day so much better it been rough one did mention love the new photo,0
don want to sit at home,1
wishing,2
concert tonight chackin out and not coming tomorrow,0
what happened thought you were coming back today,0
dammit,1
lol,2
still jealous,1
me at forever ethan couldn be there,1
sad,1
not easy,1
wow what beautiful pictur,2
looks good,2
there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,0
just about to go home usually mr positive but this has been one of those daze well mins until tomorrow,0
but you always have lee let go to paris,0
nice,2
having lots of fun,2
bouncing rush makes me feel nauseous,1
lovely day for it,2
playing singstar without my fave duetter,1
like,2
that just weird,1
im good daughter,2
that not cool,1
alwas helps,2
lacking,1
cool,2
good,2
think it under honeymoon by the good life either that or it under honey moon by joseph arthur,0
swollen,1
it was hours ago came in and it only now realised when went to buy something online,0
oh just referring to our lil exchange on lj with regards to twitter archive postings,0
don act like don know,1
best,2
scared of him,1
missing,1
mean,1
not doing so good,1
back soon need to run to the shops and cut the grass,0
up have plan to transform my bedroom today random,0
missing,1
thats another sponsor,0
stuck,1
sad,1
sorr,1
is home alone doing hw,0
live in poverty,1
not going well,1
uploading all my bamboozle pictures of facebook,0
congratulations,2
miss it there,1
woke up wanna stay in my bed,0
wack,1
it would be great if those vips were for some acts enjoy seeing but noooo,0
wish could make it too hate my commute sometimes,0
hopefully can make some good tips,2
there wasn chance,1
hates,1
thanks for the support,2
there really no android twitter app of tweetie calibre,0
lovely,2
nyappy mother day to your mom,2
yeah and im gonna take ur picture off my ipod baby,0
traumatizing,1
